Date,Open,High,Low,Close,Adj Close,Volume
02/05/2024,32.00,32.51,31.74,32.36,32.36,2708500
03/05/2024,33.44,33.97,33.39,33.89,33.89,1872400
06/05/2024,34.67,35.04,34.21,34.49,34.49,1583100
07/05/2024,34.67,35.09,34.25,34.36,34.36,1736000
08/05/2024,33.83,34.26,33.67,33.89,33.89,1177300
09/05/2024,33.48,34.20,33.18,34.04,34.04,1416600
10/05/2024,34.25,34.43,32.80,33.07,33.07,1892000
13/05/2024,34.26,34.62,34.13,34.44,34.44,1707900
14/05/2024,33.81,33.96,33.32,33.57,33.57,1070000
15/05/2024,35.10,36.26,34.88,36.06,36.06,4324100
16/05/2024,36.01,36.25,35.24,35.53,35.53,1307900
17/05/2024,36.21,36.83,35.91,36.62,36.62,1577100
20/05/2024,36.57,38.29,36.41,38.26,38.26,1503600
21/05/2024,38.70,38.90,37.72,37.75,37.75,1982500
22/05/2024,38.03,38.56,37.74,37.96,37.96,1178800
23/05/2024,37.83,37.83,36.37,36.63,36.63,1361700
